ћагазин, атегори€,Ѕренд,ћодель,÷вет,RAM,ROM,÷ена,—сылка на изображение,—сылка,–ейтинг, ол-во отзывов, од продукта
мтс,смартфоны,samsung,galaxy z flip,black,8,256,79990,https://mtscdn.ru/upload/iblock/a36/smartfon_samsung_f700_galaxy_z_flip_8_256gb_black_1.jpg/resize/208x208/,https://www.shop.mts.ru/product/smartfon-samsung-f700-galaxy-z-flip-8-256gb-black,5.0,5,none
мтс,смартфоны,samsung,galaxy s10 plus,оникс,8,128,59990,https://mtscdn.ru/upload/iblock/d46/smartfon_samsung_g975_galaxy_s10_plus_8_128gb_oniks.jpg/resize/208x208/,https://www.shop.mts.ru/product/smartfon-samsung-g975-galaxy-s10-plus-8-128gb-oniks,5.0,5,none
мтс,смартфоны,apple,iphone xr,black,0,128,49390,https://mtscdn.ru/upload/iblock/05e/black1.jpg/resize/208x208/,https://www.shop.mts.ru/product/smartfon-apple-iphone-xr-128gb-black-chernyj,4.8,4,none
мтс,смартфоны,huawei,p40,black,8,128,39990,https://mtscdn.ru/upload/iblock/801/smartfon_huawei_p40_5g_8_128gb_black.jpg/resize/208x208/,https://www.shop.mts.ru/product/smartfon-huawei-p40-5g-8-128gb-black,4.9,4,none
мтс,смартфоны,huawei,p40 pro,black,8,256,59990,https://mtscdn.ru/upload/iblock/e53/smartfon_huawei_p40_pro_5g_8_256gb_black.jpg/resize/208x208/,https://www.shop.mts.ru/product/smartfon-huawei-p40-pro-5g-8-256gb-black,4.9,4,none
мтс,смартфоны,samsung,galaxy s20,blue,8,128,59990,https://mtscdn.ru/upload/iblock/299/smartfon_samsung_g980_galaxy_s20_5g_8_128gb_blue.jpg/resize/208x208/,https://www.shop.mts.ru/product/smartfon-samsung-g980-galaxy-s20-5g-8-128gb-blue,5.0,5,none
мтс,смартфоны,samsung,galaxy z flip,purple,8,256,79990,https://mtscdn.ru/upload/iblock/cd9/smartfon_samsung_f700_galaxy_z_flip_8_256gb_purple_1.jpg/resize/208x208/,https://www.shop.mts.ru/product/smartfon-samsung-f700-galaxy-z-flip-8-256gb-purple,5.0,5,none
мтс,смартфоны,samsung,galaxy a71,silver,6,128,31990,https://mtscdn.ru/upload/iblock/6c9/smartfon_samsung_a715_galaxy_a71_6_128gb_silver_1.jpg/resize/208x208/,https://www.shop.mts.ru/product/smartfon-samsung-a715-galaxy-a71-6-128gb-silver,4.7,4,none
мтс,смартфоны,apple,iphone 11 pro max,серый космос,0,256,106890,https://mtscdn.ru/upload/iblock/551/smartfon_apple_iphone_11_pro_max_64gb_seryj_kosmos_1.jpg/resize/208x208/,https://www.shop.mts.ru/product/smartfon-apple-iphone-11-pro-max-256gb-seryj-kosmos,5.0,5,none
мтс,смартфоны,huawei,y5,black,2,32,7490,https://mtscdn.ru/upload/iblock/c21/huawei_y5_black.jpg/resize/208x208/,https://www.shop.mts.ru/product/smartfon-huawei-y5-2019-2-16gb-black,5.0,5,none
мтс,смартфоны,honor,9x,black,4,128,15990,https://mtscdn.ru/upload/iblock/32c/smartfon_honor_9x_4_128gb_black.jpg/resize/208x208/,https://www.shop.mts.ru/product/smartfon-honor-9x-4-128gb-black,4.9,4,none
мтс,смартфоны,honor,30i,black,4,128,17990,https://mtscdn.ru/upload/iblock/ff4/smartfon_honor_30i_4_128gb_black_1.jpg/resize/208x208/,https://www.shop.mts.ru/product/smartfon-honor-30i-4-128gb-black,5.0,5,none
мтс,смартфоны,xiaomi,redmi note 8 pro,blue,6,64,18990,https://mtscdn.ru/upload/iblock/14e/smartfon_xiaomi_redmi_note_8_pro_6_128gb_blue.jpg/resize/208x208/,https://www.shop.mts.ru/product/smartfon-xiaomi-redmi-note-8-pro-6-64gb-blue,4.3,4,none
мтс,смартфоны,honor,30i,green/blue,4,128,17990,https://mtscdn.ru/upload/iblock/95d/smartfon_honor_30i_4_128gb_green_blue_1.jpg/resize/208x208/,https://www.shop.mts.ru/product/smartfon-honor-30i-4-128gb-green-blue,5.0,5,none
мтс,смартфоны,vivo,y91c,fusion black,2,32,7990,https://mtscdn.ru/upload/iblock/1cf/smartfon_vivo_y91c_2_32gb_black.jpg/resize/208x208/,https://www.shop.mts.ru/product/smartfon-vivo-y91c-2-32gb-black,4.8,4,none
мтс,смартфоны,honor,9c,blue,4,64,12990,https://mtscdn.ru/upload/iblock/026/0101_7109_min.png/resize/208x208/,https://www.shop.mts.ru/product/smartfon-honor-9c-4-64gb-blue,4.9,4,none
